# pinyin<TAB>expected_text<TAB>max_rank(optional)
ji'e	飢餓	3
huashuo	話說	1
huashuo	華碩	5
yifu	衣服	1
pianduan	片段	1
pianduan	!片斷
moban	模板	1
moban	!模版
moban	!模闆
muban	模板	3
muban	!模版
muban	!模闆
ji'an	季胺	5
ji'an	吉安	5
wenjian	文件	3
rengongzhineng	人工智能	1
women	我們	3
zhineng	智能	3
zhongguo	中國	2
shuru	輸入	3
pinyin	拼音	1
fo	佛	8
yu	與	3
renhe	任何	1
gaibian	改變	1
bianyi	編譯	1
bianyi	!便宜
bulai	不來	1
chongdian	充電	1
chongdian	!重點
zhongdian	重點	1
chun	純	1
renwei	認為	2
shijian	時間	1
kele	可樂	1
dingyue	訂閱	1
shijie	世界	1
shijie	師姐	2
shijie	時節	8
shijie	視界	8
qizhong	其中	1
qizhong	期中	3
qizhong	七種	8
huafei	花費	1
huafei	!華廢
zonghe	總和	1
zonghe	綜合	2
weixin	微信	1
wendang	文檔	1
zhengti	整體	1
pian	片	1
duyin	讀音	1
budui	不對	1
xiwei	席位	2
buxing	不行	1
xiangbi	相比	1
xiangcha	相差	1
biancheng	變成	1
yiwei	以為	1
xiaoxi	消息	1
zuo	做	1
zuode	做的	1
zuode	做得	3
teli	特例	1
juli	距離	1
guanlian	關聯	1
shendu	深度	1
mingming	明明	1
nan	難	1
chenggong	成功	1
zhaji	炸雞	1
chaju	差距	1
chaju	茶具	5
yuanchao	遠超	1
yuanchao	元朝	5
toukui	頭盔	1
zhongjian	中間	1
zhongjian	中鍵	3
zhongjian	中堅	3
jiang	將	1
hangzhou	杭州	1
youxianji	優先級	1
jibuzhu	記不住	1
damo	打磨	2
shishikan	試試看	1
shishiqiushi	實事求是	1
wusuoshishi	無所事事	1
woshi	臥室	2
huashetianzu	畫蛇添足	8
beigongsheying	杯弓蛇影	8
yegonghaolong	葉公好龍	8
dongshixiaopin	東施效顰	8
woxinchangdan	臥薪嘗膽	8
zenme	怎麼	1
shenme	什麼	1
ruan	軟	3
ruan	阮	2
ruan	朊	4
ruan	!软
zhu	著	128
zhuming	著名	3
zhuzuo	著作	3
xianzhu	顯著	3
zhuozhu	卓著	3
zhuanzhu	專著	3
zhucheng	著稱	3
fugai	覆蓋	3
dianfu	顛覆	3
fuhe	符合	1
qianlong	乾隆	3
qiankun	乾坤	3
liaowangtai	瞭望臺	3
gongshangjuezhiyu	宮商角徵羽	3
langji	狼藉	3
shengminglangji	聲名狼藉	3
songbanzhu	松阪豬	8
dabanshao	大阪燒	8
caishi	才是	3
yeshi	也是	3
queshi	確實	1
haishi	還是	1
zenmeshuo	怎麼說	3
zhejiu	這就	3
zheyi	這一	1
o	哦	1
e	!哦
santi	三體	1
shi	是	1
hai	還	1
zhe	這	1
limian	裡面	1
jianyi	建議	1
tongyi	同意	1
yuanyi	願意	1
tiaoyue	跳躍	1
minglinghang	命令行	3
huanjingbianliang	環境變量	3
bianyiqi	編譯器	3
shujuku	資料庫	3
fanxiangdaili	反向代理	3
danyuanceshi	單元測試	3
xunihuanjing	虛擬環境	3
banbenkongzhi	版本控制	3
neicunxielou	記憶體洩漏	3
yilaixiang	依賴項	3
lema	勒馬	3
koutouchan	口頭禪	5
dishu	地鼠	5
dadishu	打地鼠	5
qiantao	嵌套	3
jiaozhu	腳註	5
weizhu	尾註	5
dadi	打的	5
dachuzu	打出租	5
dadishi	打的士	5
dashunfengche	打順風車	5
dadiandi	打點滴	5
dadidi	打滴滴	5
wangyueche	網約車	5
shunfengche	順風車	5
didi	滴滴	5
gaode	高德	5
heichangzhi	黑長直	5
heizhichang	黑直長	8
huihua	會話	5
xiancheng	執行緒	5
dahe	大核	5
xiaohe	小核	5
beijing	北京	5
shanghai	上海	5
hangzhou	杭州	5
chongqing	重慶	5
xiamen	廈門	5
taizhou	台州	8
bengbu	蚌埠	8
luan	六安	8
niuyue	紐約	8
dongjing	東京	8
jiujinshan	舊金山	8
ziyuanziyi	自怨自艾	5
gangzhengbue	剛正不阿	5
shenwutongjue	深惡痛絕	5
haoyiwulao	好逸惡勞	5
yiqihecheng	一氣呵成	5
changzhijiuan	長治久安	5
meiguo	美國	8
changcheng	長城	8
gugong	故宮	8
aifei'ertieta	艾菲爾鐵塔	8
ziyounvshenxiang	自由女神像	8
bolin	柏林	8
dubolin	都柏林	8
bolinweiqiang	柏林圍牆	8
jiushi	就是	3
shengxia	剩下	1
shengyu	剩餘	1
silu	思路	1
haoxiang	好像	1
xiangxiang	想像	1
xiangxiang	!想象
xiangxiangli	想像力	1
xiangxiangli	!想象力
liangguang	亮光	1
xinfang	新房	1
youqi	油漆	2
fudu	幅度	1
yuqi	預期	2
shiji	實際	2
qiangzhi	強制	1
henxiang	很像	1
meiqian	沒錢	1
yiqian	以前	1
meiqi	煤氣	1
meibian	沒變	1
meiyou	沒有	1
niubi	牛逼	1
shabi	傻逼	1
qiongbi	窮逼	1
lianbu	臉部	1
xiede	寫的	1
xiede	寫得	3
xiuxi	休息	1
chaichu	拆出	3
chaifenchu	拆分出	3
dengju	燈具	1
xiaoji	小計	3
duideshang	對得上	1
duibushang	對不上	1
quanxian	權限	1
shangke	上課	1
wugu	無故	1
duanshijian	短時間	1
xiaoshi	小時	2
fuzhi	複製	1
