# term	editorial_familiarity
# Reviewed general-use expressions. Familiarity is a weak prior, not corpus counts.
# Domain membership alone never qualifies a term; existing entries are unchanged.
有限责任公司	650
有关部门	600
承担责任	600
违法行为	600
信息披露	580
执法人员	600
侵犯版权	600
经营范围	600
中级人民法院	580
道路交通	600
社会治安	600
调查报告	600
授权委托书	580
经营许可证	600
业主委员会	580
个体工商户	600
强制执行	600
保险合同	580
行为规范	580
解决方法	600
服务器端	580
文件系统	620
下载地址	600
自动生成	580
时间复杂度	540
错误信息	600
返回结果	580
读取数据	580
当前目录	580
端口号	560
业务逻辑	560
数据存储	580
设计模式	560
文件路径	600
文本文件	580
工作原理	600
发送消息	600
日志文件	580
绝对路径	560
打开文件	600
应用场景	580
访问权限	580
管理系统	600
资源管理	580
汽车零部件	580
自动变速箱	580
手动变速箱	580
发动机转速	560
红葡萄酒	600
绿豆汤	620
煮鸡蛋	580
烤羊肉	600
烤全羊	600
重庆火锅	600
鹌鹑蛋	580
辣椒粉	600
绿豆芽	600
酸梅汤	620
调和油	560
蔬菜汤	580
糯米饭	600
鸭脖子	580
苹果醋	560
羊肉汤	600
燕麦片	600
压缩饼干	580
购房者	580
投资额	560
股份制	580
净资产	600
财政赤字	580
无形资产	580
政府采购	580
预付款	600
合资企业	580
负债率	560
无息贷款	580
开盘价	560
