# sc	tc	usage_score	pinyin(optional)
# Project-maintained architecture entity supplement.
# Keep this layer separate from daily/chat phrasing and generic proper nouns.
贝聿铭	貝聿銘	0.82
安藤忠雄	安藤忠雄	0.82
高迪	高第	0.80
扎哈哈迪德	扎哈哈蒂	0.82
勒柯布西耶	勒柯比意	0.82
密斯凡德罗	密斯凡德羅	0.82
弗兰克盖里	法蘭克蓋瑞	0.82
埃菲尔铁塔	艾菲爾鐵塔	0.82
卢浮宫	羅浮宮	0.82
圣家堂	聖家堂	0.82
凡尔赛宫	凡爾賽宮	0.82
包豪斯	包豪斯	0.80
帝国大厦	帝國大廈	0.82
悉尼歌剧院	雪梨歌劇院	0.82
古根海姆博物馆	古根漢美術館	0.82
露水河	露水河	0.76
爱格	愛格	0.74
兔宝宝	兔寶寶	0.74
千年舟	千年舟	0.74
莫干山	莫干山	0.74
大王椰	大王椰	0.74
福庆	福慶	0.72
声达	聲達	0.72
鹏鸿	鵬鴻	0.72
伟业	偉業	0.72
克诺斯邦	克諾斯邦	0.72
可丽芙	可麗芙	0.72
旭格	旭格	0.74	xuge
芬琳	芬琳	0.74	fenlin
都芳	都芳	0.74	dufang
立邦	立邦	0.74	libang
派雅	派雅	0.74	paiya
拉迷	拉迷	0.72	lami
雅立	雅立	0.72	yali
索菲亚	索菲亞	0.74	suofeiya
欧派	歐派	0.74	oupai
尚品宅配	尚品宅配	0.74	shangpinzhaipei
志邦	志邦	0.72	zhibang
金牌	金牌	0.72	jinpai
好莱客	好萊客	0.72	haolaike
顶固	頂固	0.72	dinggu
司米	司米	0.72	simi
博洛尼	博洛尼	0.72	boluoni
皮阿诺	皮阿諾	0.72	pianuo
箭牌	箭牌	0.72	jianpai
九牧	九牧	0.72	jiumu
恒洁	恆潔	0.72	hengjie
科勒	科勒	0.72	kele
东鹏	東鵬	0.72	dongpeng
马可波罗	馬可波羅	0.72	makeboluo
蒙娜丽莎	蒙娜麗莎	0.72	mengnalisha
诺贝尔	諾貝爾	0.72	nuobeier
冠珠	冠珠	0.72	guanzhu
简一	簡一	0.72	jianyi
鹰牌	鷹牌	0.72	yingpai
新中源	新中源	0.72	xinzhongyuan
圣象	聖象	0.72	shengxiang
大自然	大自然	0.72	daziran
德尔	德爾	0.72	deer
菲林格尔	菲林格爾	0.72	feilingeer
久盛	久盛	0.72	jiusheng
世友	世友	0.72	shiyou
书香门地	書香門地	0.72	shuxiangmendi
三棵树	三棵樹	0.72	sankeshu
多乐士	多樂士	0.72	duoleshi
嘉宝莉	嘉寶莉	0.72	jiabaoli
华润漆	華潤漆	0.72	huarunqi
美巢	美巢	0.72	meichao
德高	德高	0.72	degao
雨虹	雨虹	0.72	yuhong
伟星	偉星	0.72	weixing
日丰	日豐	0.72	rifeng
公元	公元	0.72	gongyuan
金牛	金牛	0.72	jinniu
