# sc	tc	usage_score	pinyin(optional)
# Project-maintained fiction entity layer.
# Use this file for fictional character names, fiction titles,
# fictional organizations, artifacts, and other story-specific named entities that should remain
# separate from everyday/chat phrase seeds and general proper nouns.
沈语熙	沈語熙	0.84	shenyuxi
林浩	林浩	0.82	linhao
优雅	優雅	0.72	youya
林毅	林毅	0.82	linyi
陆雅婷	陸雅婷	0.84	luyating
陈天宇	陳天宇	0.84	chentianyu
王骁	王驍	0.82	wangxiao
沈蔚	沈蔚	0.82	shenwei
张晓峰	張曉峰	0.84	zhangxiaofeng
艾利斯	艾利斯	0.80	ailisi
布莱克	布萊克	0.82	bulaike
孟凡	孟凡	0.78	mengfan
李洪涛	李洪濤	0.82	lihongtao
赵明轩	趙明軒	0.84	zhaomingxuan
谢伟林	謝偉林	0.84	xieweilin
何思婕	何思婕	0.82	hesijie
顾海森	顧海森	0.84	guhaisen
宋志明	宋志明	0.82	songzhiming
王云飞	王雲飛	0.82	wangyunfei
王思涵	王思涵	0.82	wangsihan
朱迅	朱迅	0.80	zhuxun
韩东	韓東	0.80	handong
徐青松	徐青松	0.80	xuqingsong
埃里克	埃里克	0.80	ailike
约翰逊	約翰遜	0.82	yuehanxun
张明磊	張明磊	0.84	zhangminglei
陈泽辉	陳澤輝	0.84	chenzehui
银河之光	銀河之光	0.86	yinhezhiguang
金蜂	金蜂	0.78	jinfeng
银燕	銀燕	0.78	yinyan
灵笔	靈筆	0.80	lingbi
永恒智能	永恆智能	0.84	yonghengzhineng
华瑞银行	華瑞銀行	0.88	huaruiyinhang
李自然	李自然	0.84	liziran
申旻	申旻	0.84	shenmin
三体	三體	0.90	santi
雪山飞狐	雪山飛狐	0.96	xueshanfeihu
飞狐外传	飛狐外傳	0.94	feihuwaizhuan
连城诀	連城訣	0.94	lianchengjue
天龙八部	天龍八部	0.96	tianlongbabu
射雕英雄传	射鵰英雄傳	0.96	shediaoyingxiongzhuan
白马啸西风	白馬嘯西風	0.92	baimaxiaoxifeng
鹿鼎记	鹿鼎記	0.96	ludingji
笑傲江湖	笑傲江湖	0.96	xiaoaojianghu
书剑恩仇录	書劍恩仇錄	0.94	shujianenchoulu
神雕侠侣	神鵰俠侶	0.96	shendiaoxialv
侠客行	俠客行	0.94	xiakexing
倚天屠龙记	倚天屠龍記	0.96	yitiantulongji
碧血剑	碧血劍	0.94	bixuejian
鸳鸯刀	鴛鴦刀	0.92	yuanyangdao
越女剑	越女劍	0.92	yuenvjian
郭靖	郭靖	0.92	guojing
黄蓉	黃蓉	0.92	huangrong
杨过	楊過	0.92	yangguo
小龙女	小龍女	0.92	xiaolongnv
张无忌	張無忌	0.92	zhangwuji
赵敏	趙敏	0.90	zhaomin
周芷若	周芷若	0.88	zhouzhiruo
令狐冲	令狐沖	0.90	linghuchong
任盈盈	任盈盈	0.88	renyingying
乔峰	喬峰	0.90	qiaofeng
段誉	段譽	0.88	duanyu
虚竹	虛竹	0.86	xuzhu
王语嫣	王語嫣	0.88	wangyuyan
阿朱	阿朱	0.84	azhu
阿紫	阿紫	0.84	azi
慕容复	慕容復	0.86	murongfu
韦小宝	韋小寶	0.90	weixiaobao
洪七公	洪七公	0.86	hongqigong
欧阳锋	歐陽鋒	0.86	ouyangfeng
郭襄	郭襄	0.84	guoxiang
杨康	楊康	0.84	yangkang
穆念慈	穆念慈	0.84	munianci
黄药师	黃藥師	0.86	huangyaoshi
欧阳克	歐陽克	0.82	ouyangke
梅超风	梅超風	0.84	meichaofeng
周伯通	周伯通	0.86	zhoubotong
裘千仞	裘千仞	0.82	qiuqianren
李莫愁	李莫愁	0.84	limochou
胡斐	胡斐	0.84	hufei
程灵素	程靈素	0.84	chenglingsu
苗若兰	苗若蘭	0.82	miaoruolan
袁承志	袁承志	0.84	yuanchengzhi
夏雪宜	夏雪宜	0.82	xiaxueyi
陈家洛	陳家洛	0.84	chenjialuo
霍青桐	霍青桐	0.82	huoqingtong
香香公主	香香公主	0.84	xiangxianggongzhu
狄云	狄雲	0.82	diyun
丁典	丁典	0.82	dingdian
水笙	水笙	0.80	shuisheng
石破天	石破天	0.84	shipotian
谢逊	謝遜	0.84	xiexun
殷素素	殷素素	0.84	yinsusu
成昆	成昆	0.80	chengkun
东方不败	東方不敗	0.88	dongfangbubai
任我行	任我行	0.84	renwoxing
岳不群	岳不群	0.84	yuebuqun
林平之	林平之	0.84	linpingzhi
程心	程心	0.92	chengxin
叶文洁	葉文潔	0.92	yewenjie
汪淼	汪淼	0.92	wangmiao
史强	史強	0.92	shiqiang
罗辑	羅輯	0.92	luoji
章北海	章北海	0.92	zhangbeihai
云天明	雲天明	0.92	yuntianming
智子	智子	0.90	zhizi
丁仪	丁儀	0.88	dingyi
郭昊凡	郭昊凡	0.84	guohaofan
程碧桃	程碧桃	0.84	chengbitao
小桃	小桃	0.82	xiaotao

# word2 curated import 2026-06-03 (fiction_entities); reviewed from D:/word2.txt
