# sc	tc	usage_score	pinyin(optional)
# Project-maintained gaming terminology supplement.
# Use this layer for high-value gaming terms that should stay outside
# everyday/chat preferred-term routing.
开放世界	開放世界	0.80
平台跳跃	平台跳躍	0.78
动作冒险	動作冒險	0.78
模拟经营	模擬經營	0.76
回合制	回合制	0.76
即时战略	即時戰略	0.76
角色扮演	角色扮演	0.78
联机模式	聯機模式	0.78
主机游戏	主機遊戲	0.78
单机游戏	單機遊戲	0.78
手游	手遊	0.74
端游	端遊	0.74
副本	副本	0.74
开黑	開黑	0.74
抽卡	抽卡	0.72
卡池	卡池	0.72
保底	保底	0.72
像素风	像素風	0.72
肉鸽	肉鴿	0.72
类魂	類魂	0.72

# Mahjong/table-game terminology 2026-06-26.
诈和	詐和	0.58	zhahu
诈胡	詐胡	0.58	zhahu
和牌	和牌	0.62	hupai
胡牌	胡牌	0.64	hupai
自摸	自摸	0.64	zimo
点炮	點炮	0.62	dianpao
放铳	放銃	0.56	fangchong
吃牌	吃牌	0.58	chipai
碰牌	碰牌	0.58	pengpai
摸牌	摸牌	0.58	mopai
抓牌	抓牌	0.56	zhuapai
打牌	打牌	0.60	dapai
出牌	出牌	0.60	chupai
听牌	聽牌	0.62	tingpai
听张	聽張	0.50	tingzhang
叫听	叫聽	0.48	jiaoting
开杠	開槓	0.56	kaigang
杠开	槓開	0.56	gangkai
杠牌	槓牌	0.52	gangpai
杠子	槓子	0.52	gangzi
明杠	明槓	0.56	minggang
暗杠	暗槓	0.56	angang
加杠	加槓	0.54	jiagang
补杠	補槓	0.54	bugang
碰杠	碰槓	0.50	penggang
抢杠	搶槓	0.54	qianggang
抢杠胡	搶槓胡	0.54	qiangganghu
杠上开花	槓上開花	0.58	gangshangkaihua
杠头开花	槓頭開花	0.54	gangtoukaihua
海底捞月	海底撈月	0.56	haidilaoyue
河底捞鱼	河底撈魚	0.50	hedilaoyu
清一色	清一色	0.60	qingyise
混一色	混一色	0.58	hunyise
对对胡	對對胡	0.56	duiduihu
七对子	七對子	0.56	qiduizi
十三么	十三幺	0.56	shisanyao
大三元	大三元	0.56	dasanyuan
小三元	小三元	0.54	xiaosanyuan
大四喜	大四喜	0.56	dasixi
小四喜	小四喜	0.54	xiaosixi
字一色	字一色	0.52	ziyise
么九牌	幺九牌	0.50	yaojiupai
断么九	斷幺九	0.50	duanyaojiu
平胡	平胡	0.54	pinghu
鸡胡	雞胡	0.48	jihu
门清	門清	0.50	menqing
花牌	花牌	0.52	huapai
刻子	刻子	0.54	kezi
顺子	順子	0.54	shunzi
对子	對子	0.54	duizi
雀头	雀頭	0.50	quetou
将牌	將牌	0.50	jiangpai
听口	聽口	0.48	tingkou
荒牌	荒牌	0.48	huangpai
流局	流局	0.52	liuju
垃圾和	垃圾和	0.42	lajihu
大吊车	大吊車	0.42	dadiaoche

# BEGIN words_new_import_2026_07_07
# Imported from D:/_/words_new.txt on 2026-07-07; bucket=gaming; reviewed by rule-based classifier.
排位赛	排位賽	0.34
组装机	組裝機	0.34
# END words_new_import_2026_07_07
