# sc	tc	usage_score	pinyin(optional)
# Project-maintained idioms and literary allusions. Keep this layer conservative:
# complete idiom/allusion input should be selectable, but it should not inherit daily/chat phrase priority.
画蛇添足	畫蛇添足	0.72	huashetianzu
杯弓蛇影	杯弓蛇影	0.72	beigongsheying
叶公好龙	葉公好龍	0.72	yegonghaolong
东施效颦	東施效顰	0.72	dongshixiaopin
孟母三迁	孟母三遷	0.72	mengmusanqian
卧薪尝胆	臥薪嘗膽	0.72	woxinchangdan
刻舟求剑	刻舟求劍	0.72	kezhouqiujian
掩耳盗铃	掩耳盜鈴	0.72	yanerdaoling
滥竽充数	濫竽充數	0.72	lanyuchongshu
画龙点睛	畫龍點睛	0.72	hualongdianjing
望梅止渴	望梅止渴	0.72	wangmeizhike
亡羊补牢	亡羊補牢	0.72	wangyangbulao
三顾茅庐	三顧茅廬	0.72	sangumaolu
草船借箭	草船借箭	0.72	caochuanjiejian
负荆请罪	負荊請罪	0.72	fujingqingzui
完璧归赵	完璧歸趙	0.72	wanbiguizhao
纸上谈兵	紙上談兵	0.72	zhishangtanbing
精卫填海	精衛填海	0.72	jingweitianhai
愚公移山	愚公移山	0.72	yugongyishan
买椟还珠	買櫝還珠	0.72	maiduhuanzhu
邯郸学步	邯鄲學步	0.72	handanxuebu
悬梁刺股	懸梁刺股	0.72	xuanliangcigu
凿壁偷光	鑿壁偷光	0.72	zaobitouguang
指鹿为马	指鹿為馬	0.72	zhiluweima
破釜沉舟	破釜沉舟	0.72	pofuchenzhou
背水一战	背水一戰	0.72	beishuiyizhan
老马识途	老馬識途	0.72	laomashitu
毛遂自荐	毛遂自薦	0.72	maosuizijian
惊弓之鸟	驚弓之鳥	0.72	jinggongzhiniao
狐假虎威	狐假虎威	0.72	hujiahuwei
守株待兔	守株待兔	0.72	shouzhudaitu
塞翁失马	塞翁失馬	0.72	saiwengshima
班门弄斧	班門弄斧	0.72	banmennongfu
夜郎自大	夜郎自大	0.72	yelangzida
杞人忧天	杞人憂天	0.72	qirenyoutian
南辕北辙	南轅北轍	0.72	nanyuanbeizhe
竭尽所能	竭盡所能	0.72	jiejinsuoneng
无所不知	無所不知	0.72	wusuobuzhi
延绵不绝	延綿不絕	0.72	yanmianbujue
面若死灰	面若死灰	0.72	mianruosihui
云淡风轻	雲淡風輕	0.76	yundanfengqing
提纲挈领	提綱挈領	0.76	tigangqieling
耿耿于怀	耿耿於懷	0.76	genggengyuhuai
有条不紊	有條不紊	0.76	youtiaobuwen
水落石出	水落石出	0.76	shuiluoshichu
发自内心	發自內心	0.74	fazineixin
欲求不满	慾求不滿	0.72	yuqiubuman
欲罢不能	欲罷不能	0.72	yubabuneng
求而不得	求而不得	0.72	qiuerbude
贪得无厌	貪得無厭	0.72	tandewuyan
贪心不足	貪心不足	0.72	tanxinbuzu
得寸进尺	得寸進尺	0.72	decunjinchi
得陇望蜀	得隴望蜀	0.72	delongwangshu
欲壑难填	慾壑難填	0.72	yuhenantian
心满意足	心滿意足	0.72	xinmanyizu
适可而止	適可而止	0.72	shikeyerzhi
患得患失	患得患失	0.72	huandehuanshi

# word1 curated import 2026-06-03 (idioms_allusions); reviewed from D:/word1.txt
沉默不语	沉默不語	0.62	chenmobuyu
波澜不惊	波瀾不驚	0.62	bolanbujing
合作无间	合作無間	0.62	hezuowujian
熠熠生辉	熠熠生輝	0.62	yiyishenghui
百忙之中	百忙之中	0.62	baimangzhizhong
从无到有	從無到有	0.62	congwudaoyou
脆弱不堪	脆弱不堪	0.62	cuiruobukan
大打折扣	大打折扣	0.62	dadazhekou
灯火阑珊	燈火闌珊	0.62	denghuolanshan
干干净净	乾乾淨淨	0.62	ganganjingjing
孤枕难眠	孤枕難眠	0.62	guzhennanmian
简洁明了	簡潔明瞭	0.62	jianjiemingliao
技不如人	技不如人	0.62	jibururen
惊慌无措	驚慌無措	0.62	jinghuangwucuo
晶莹剔透	晶瑩剔透	0.62	jingyingtitou
了然于心	瞭然於心	0.62	liaoranyuxin
啰啰嗦嗦	囉囉嗦嗦	0.62	luoluosuosuo
梦想成真	夢想成真	0.62	mengxiangchengzhen
拿腔作势	拿腔作勢	0.62	naqiangzuoshi
闪闪发光	閃閃發光	0.62	shanshanfaguang
闪烁其辞	閃爍其辭	0.62	shanshuoqici
万万不可	萬萬不可	0.62	wanwanbuke
无可辩驳	無可辯駁	0.62	wukebianbo
无一不是	無一不是	0.62	wuyibushi
毋庸置疑	毋庸置疑	0.62	wuyongzhiyi
现学现卖	現學現賣	0.62	xianxuexianmai
稀稀疏疏	稀稀疏疏	0.62	xixishushu
乍听之下	乍聽之下	0.62	zhatingzhixia
知之甚少	知之甚少	0.62	zhizhishenshao
自说自话	自說自話	0.62	zishuozihua
坐视不管	坐視不管	0.62	zuoshibuguan

# word2 curated import 2026-06-03 (idioms_allusions); reviewed from D:/word2.txt
任督	任督	0.54	rendu
任督二脉	任督二脈	0.54	renduermai
