# sc	tc	usage_score	pinyin(optional)
# Project-maintained high-value scenic spots and landmarks. Cold Wikidata
# landmark imports use lower weights; this list keeps common landmarks stable.
故宫	故宮	0.82	gugong
紫禁城	紫禁城	0.78	zijincheng
长城	長城	0.84	changcheng
八达岭长城	八達嶺長城	0.72	badalingchangcheng
天安门	天安門	0.82	tiananmen
天安门广场	天安門廣場	0.78	tiananmenguangchang
颐和园	頤和園	0.78	yiheyuan
圆明园	圓明園	0.74	yuanmingyuan
天坛	天壇	0.76	tiantan
兵马俑	兵馬俑	0.78	bingmayong
秦始皇兵马俑	秦始皇兵馬俑	0.70	qinshihuangbingmayong
莫高窟	莫高窟	0.74	mogaoku
布达拉宫	布達拉宮	0.78	budalagong
九寨沟	九寨溝	0.78	jiuzhaigou
张家界	張家界	0.78	zhangjiajie
武陵源	武陵源	0.68	wulingyuan
黄山	黃山	0.76	huangshan
庐山	廬山	0.72	lushan
华山	華山	0.72	huashan
泰山	泰山	0.76	taishan
峨眉山	峨眉山	0.72	emeishan
武夷山	武夷山	0.70	wuyishan
西湖	西湖	0.82	xihu
鼓浪屿	鼓浪嶼	0.74	gulangyu
都江堰	都江堰	0.74	dujiangyan
东方明珠	東方明珠	0.74	dongfangmingzhu
外滩	外灘	0.78	waitan
上海迪士尼	上海迪士尼	0.74	shanghaidishini
迪士尼乐园	迪士尼樂園	0.72	dishinileyuan
台北故宫	台北故宮	0.70	taibeigugong
台北一零一	台北一零一	0.70	taibeiyilingyi
阿里山	阿里山	0.70	alishan
日月潭	日月潭	0.70	riyuetan
维多利亚港	維多利亞港	0.76	weiduoliyagang
太平山	太平山	0.68	taipingshan
大三巴	大三巴	0.66	dasanba
大三巴牌坊	大三巴牌坊	0.68	dasanbapaifang
卢浮宫	羅浮宮	0.78	lufugong
埃菲尔铁塔	艾菲爾鐵塔	0.80	aifeiertieta
凯旋门	凱旋門	0.72	kaixuanmen
凡尔赛宫	凡爾賽宮	0.72	fanersaigong
大英博物馆	大英博物館	0.76	dayingbowuguan
伦敦塔	倫敦塔	0.68	lundunta
大本钟	大笨鐘	0.72	dabenzhong
白金汉宫	白金漢宮	0.72	baijinhuangong
自由女神像	自由女神像	0.80	ziyounvshenxiang
帝国大厦	帝國大廈	0.72	diguodasha
时代广场	時代廣場	0.74	shidaiguangchang
中央公园	中央公園	0.72	zhongyanggongyuan
金门大桥	金門大橋	0.76	jinmendaqiao
好莱坞	好萊塢	0.72	haolaiwu
环球影城	環球影城	0.72	huanqiuyingcheng
迪拜塔	迪拜塔	0.76	dibaita
哈利法塔	哈里發塔	0.72	halifata
泰姬陵	泰姬陵	0.78	taijiling
吴哥窟	吳哥窟	0.74	wugeku
金字塔	金字塔	0.76	jinzita
狮身人面像	獅身人面像	0.72	shishenrenmianxiang
悉尼歌剧院	雪梨歌劇院	0.76	xinigejuyuan
富士山	富士山	0.78	fushishan
浅草寺	淺草寺	0.68	qiancaosi
东京塔	東京鐵塔	0.74	dongjingta
首尔塔	首爾塔	0.66	shouerta
景福宫	景福宮	0.66	jingfugong
克里姆林宫	克里姆林宮	0.72	kelimulingong
柏林围墙	柏林圍牆	0.74	bolinweiqiang
红场	紅場	0.70	hongchang
圣彼得大教堂	聖伯多祿大殿	0.70	shengbidedajiaotang
比萨斜塔	比薩斜塔	0.70	bisaxieta
罗马斗兽场	羅馬競技場	0.76	luomadoushouchang
