# sc	tc	usage_score	pinyin(optional)
# Project-maintained proper nouns kept separate from everyday/chat phrase seeds.
# Use this file for general proper nouns such as product names, organizations,
# platforms, and other real-world named entities that should remain inputable
# without inheriting the everyday/chat preferred-term path.
抖音	抖音	0.92	douyin
微信	微信	0.94	weixin
可灵	可靈	0.88	keling
火山引擎	火山引擎	0.86	huoshanyinqing
飞书	飛書	0.88	feishu
钉钉	釘釘	0.88	dingding
剪映	剪映	0.90	jianying
美团	美團	0.90	meituan
大众点评	大眾點評	0.88	dazhongdianping
京东	京東	0.92	jingdong
闲鱼	閒魚	0.88	xianyu
招商银行	招商銀行	0.90	zhaoshangyinhang
月之暗面	月之暗面	0.88	yuezhianmian
常凯申	常凱申	0.82	changkaishen
李子柒	李子柒	0.90	liziqi
淘宝	淘寶	0.94	taobao
米家	米家	0.88	mijia
谷歌	谷歌	0.92	guge
脸书	臉書	0.90	lianshu
言泉	言泉	0.94	yanquan
言泉输入法	言泉輸入法	0.96	yanquanshurufa
言泉拼音输入法	言泉拼音輸入法	0.96	yanquanpinyinshurufa
