# sc	tc	usage_score	pinyin(optional)
# Project-maintained high-value world cities. Broad Wikidata city imports use
# lower weights; this list keeps common city names stable.
吉隆坡	吉隆坡	0.76	jilongpo
雅加达	雅加達	0.76	yajiada
河内	河內	0.72	henei
胡志明市	胡志明市	0.72	huzhimingshi
金边	金邊	0.68	jinbian
万象	萬象	0.66	wanxiang
仰光	仰光	0.68	yangguang
新德里	新德里	0.74	xindeli
孟买	孟買	0.72	mengmai
班加罗尔	班加羅爾	0.68	banjialuoer
加尔各答	加爾各答	0.68	jiaergeda
首尔	首爾	0.80	shouer
釜山	釜山	0.68	fushan
平壤	平壤	0.66	pingrang
大阪	大阪	0.78	daban
京都	京都	0.78	jingdu
横滨	橫濱	0.68	hengbin
名古屋	名古屋	0.68	mingguwu
福冈	福岡	0.66	fugang
台北	台北	0.78	taibei
高雄	高雄	0.70	gaoxiong
马尼拉	馬尼拉	0.70	manila
伊斯坦布尔	伊斯坦堡	0.72	yisitanbuer
安卡拉	安卡拉	0.64	ankala
特拉维夫	特拉維夫	0.66	telaweifu
耶路撒冷	耶路撒冷	0.72	yelusaleng
多哈	多哈	0.66	duoha
利雅得	利雅得	0.66	liyade
开罗	開羅	0.74	kailuo
内罗毕	奈洛比	0.66	nailuobi
开普敦	開普敦	0.68	kaipudun
约翰内斯堡	約翰尼斯堡	0.68	yuehanneisibao
布宜诺斯艾利斯	布宜諾斯艾利斯	0.70	buyinuosiailisi
圣保罗	聖保羅	0.72	shengbaoluo
里约热内卢	里約熱內盧	0.70	liyuereneilu
利马	利馬	0.66	lima
圣地亚哥	聖地亞哥	0.68	shengdiyage
波哥大	波哥大	0.66	bogeda
纽约	紐約	0.82	niuyue
洛杉矶	洛杉磯	0.78	luoshanji
旧金山	舊金山	0.78	jiujinshan
西雅图	西雅圖	0.76	xiyatu
芝加哥	芝加哥	0.76	zhijiage
华盛顿	華盛頓	0.78	huashengdun
波士顿	波士頓	0.72	boshidun
迈阿密	邁阿密	0.70	maiamai
多伦多	多倫多	0.78	duolunduo
温哥华	溫哥華	0.78	wengehua
蒙特利尔	蒙特婁	0.70	mengtelier
伦敦	倫敦	0.82	lundun
巴黎	巴黎	0.82	bali
柏林	柏林	0.76	bolin
慕尼黑	慕尼黑	0.76	munihei
法兰克福	法蘭克福	0.72	falankefu
罗马	羅馬	0.76	luoma
米兰	米蘭	0.76	milan
威尼斯	威尼斯	0.72	weinisi
马德里	馬德里	0.76	madeli
巴塞罗那	巴塞羅那	0.76	basailuona
里斯本	里斯本	0.68	lisiben
阿姆斯特丹	阿姆斯特丹	0.72	amusitedan
布鲁塞尔	布魯塞爾	0.68	bulusaier
日内瓦	日內瓦	0.68	rineiwa
苏黎世	蘇黎世	0.70	sulishi
维也纳	維也納	0.72	weiyena
斯德哥尔摩	斯德哥爾摩	0.68	sidegeermo
哥本哈根	哥本哈根	0.68	gebenhagen
赫尔辛基	赫爾辛基	0.66	heerxinji
莫斯科	莫斯科	0.78	mosike
圣彼得堡	聖彼得堡	0.70	shengbidebao
华沙	華沙	0.68	huasha
布拉格	布拉格	0.70	bulage
布达佩斯	布達佩斯	0.68	budapeisi
雅典	雅典	0.70	yadian
都柏林	都柏林	0.66	dubolin
